SujetId,Terme,LienWikidata,Verifie
3657,DOCUMENTAIRES (TV),http://www.wikidata.org/entity/Q93204,1
12629,WESTERNS,http://www.wikidata.org/entity/Q172980,1
4212,"EXPÉRIMENTAUX, FILMS",http://www.wikidata.org/entity/Q790192,1
4434,"FICTION, FILMS DE",http://www.wikidata.org/entity/Q8253,1
3985,"ENFANTS, FILMS POUR LES",http://www.wikidata.org/entity/Q2143665,1
3656,DOCUMENTAIRES,http://www.wikidata.org/entity/Q93204,1
9756,CANADA : QUÉBEC DANS LES FILMS,,0
2945,COMÉDIES,http://www.wikidata.org/entity/Q157443,1
4056,"HORREUR, FILMS D'",http://www.wikidata.org/entity/Q200092,1
11794,THRILLERS,http://www.wikidata.org/entity/Q2484376,1
1294,"AVENTURE, FILMS D'",http://www.wikidata.org/entity/Q319221,1
998,"ARTS MARTIAUX, FILMS D'",http://www.wikidata.org/entity/Q1033891,1
11083,"SPORTS, FILMS DE",http://www.wikidata.org/entity/Q1339864,1
3274,COURTS MÉTRAGES,http://www.wikidata.org/entity/Q24862,
10507,"SCIENCE-FICTION, FILMS DE",http://www.wikidata.org/entity/Q471839,1
5538,"GUERRE, FILMS DE",http://www.wikidata.org/entity/Q369747,1
10007,"RELIGIEUX, FILMS",http://www.wikidata.org/entity/Q9259727,1
10152,ROAD MOVIES,http://www.wikidata.org/entity/Q628165,1
4302,"FANTASTIQUES, FILMS",http://www.wikidata.org/entity/Q2973181,1
1592,"BIOGRAPHIQUES, FILMS",http://www.wikidata.org/entity/Q645928,1
12329,"VAMPIRES, FILMS DE",http://www.wikidata.org/entity/Q2137852,1
9077,"POLITIQUES, FILMS",http://www.wikidata.org/entity/Q2973201,1
4073,"ÉROTIQUES, FILMS",http://www.wikidata.org/entity/Q599558,1
3307,"CRIME, FILMS DE",http://www.wikidata.org/entity/Q959790,1
2948,COMÉDIES MUSICALES,http://www.wikidata.org/entity/Q1548170,1
8851,PÉPLUMS,http://www.wikidata.org/entity/Q1433443,1
10196,"ROMANTIQUES, FILMS",http://www.wikidata.org/entity/Q1054574,0
4299,"FÉÉRIE, FILMS DE",http://www.wikidata.org/entity/Q3092278,0
10506,"SCIENCE-FICTION, ÉMISSIONS DE",http://www.wikidata.org/entity/Q471839,0
13520,"ACTION, ÉMISSIONS D'",http://www.wikidata.org/entity/Q188473,0
9704,PUBLICITÉ (VIDÉO),http://www.wikidata.org/entity/Q1869909,0
9065,"POLICIERS, FILMS",http://www.wikidata.org/entity/Q2101714,0
5704,"HISTORIQUES, FILMS",http://www.wikidata.org/entity/Q17013749,1
4433,"FICTION, ÉMISSIONS DE",http://www.wikidata.org/entity/Q12912091,1
13533,"HISTORIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q17013749,1
5691,HISTOIRE DU CINÉMA. LE MUET,,
128,"ACTION, FILMS D'",http://www.wikidata.org/entity/Q188473,1
4101,"ESPIONNAGE, FILMS D'",http://www.wikidata.org/entity/Q2297927,1
12417,VIDÉO,http://www.wikidata.org/entity/Q34508,1
10626,SÉRIES (TV),http://www.wikidata.org/entity/Q5398426,1
3982,"ENFANTS, ÉMISSIONS POUR LES",http://www.wikidata.org/entity/Q2143665,1
13360,ANIMATION DE FIGURINES,,
3658,DOCUMENTAIRES (VIDÉO),http://www.wikidata.org/entity/Q93204,1
766,ANIMATION (VIDÉO),http://www.wikidata.org/entity/Q202866,1
6038,INSTALLATIONS VIDÉO,,
779,"ANIMATION, FILMS D'",http://www.wikidata.org/entity/Q202866,1
4213,"EXPÉRIMENTAUX, VIDÉOS",http://www.wikidata.org/entity/Q790192,1
970,"ART, FILMS SUR L'",http://www.wikidata.org/entity/Q1135802,1
7881,"MUSICIENS, ÉMISSIONS SUR LES",,
3409,"DANSE, ÉMISSIONS DE",http://www.wikidata.org/entity/Q3072043,1
3956,ÉMISSIONS (TV),http://www.wikidata.org/entity/Q15416,0
13523,ANIMATION ET PRISE DE VUES RÉELLES,http://www.wikidata.org/entity/Q202866,0
6355,"JEUNES, ÉMISSIONS POUR LES",http://www.wikidata.org/entity/Q2143665,0
7876,"MUSICALES, ÉMISSIONS",http://www.wikidata.org/entity/Q842256,1
3653,DOCUMENTAIRES DRAMATISÉS (TV),http://www.wikidata.org/entity/Q622370,1
10517,"SCIENTIFIQUES, FILMS",,
139,"ACTUALITÉS, FILMS D'",http://www.wikidata.org/entity/Q735478,1
763,ANIMATHON,,
765,ANIMATION (TV),http://www.wikidata.org/entity/Q202866,1
6368,JEUX-QUESTIONNAIRES (TV),,
3410,"DANSE, FILMS DE",http://www.wikidata.org/entity/Q3072043,1
13543,"SPORTS, ÉMISSIONS DE",http://www.wikidata.org/entity/Q2605607,0
2940,"COMÉDIE, ÉMISSIONS DE",http://www.wikidata.org/entity/Q157443,0
13539,"POLICIÈRES, ÉMISSIONS",http://www.wikidata.org/entity/Q2101714,1
13610,"FICTION, VIDÉOS DE",http://www.wikidata.org/entity/Q12912091,1
9700,"PUBLICITAIRES, FILMS",http://www.wikidata.org/entity/Q1869909,0
6319,"JAZZ, FILMS DE",,
4154,"ÉTUDIANTS, FILMS",http://www.wikidata.org/entity/Q58415294,1
12444,VIDÉOCLIPS,http://www.wikidata.org/entity/Q677466,1
12575,WALT DISNEY PRODUCTIONS (ÉTATS-UNIS),,
971,"ART, VIDÉOS SUR L'",http://www.wikidata.org/entity/Q1135802,1
11695,TÉLÉFILMS,http://www.wikidata.org/entity/Q506240,1
2053,"CAPE ET D'ÉPÉE, FILMS DE",http://www.wikidata.org/entity/Q222639,1
4100,"ESPIONNAGE, ÉMISSIONS D'",http://www.wikidata.org/entity/Q2297927,1
4301,"FANTASTIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q2973181,1
7299,"MÉDICALES, ÉMISSIONS",,
4055,"HORREUR, ÉMISSIONS D'",http://www.wikidata.org/entity/Q200092,1
5890,IMAX,http://www.wikidata.org/entity/Q188575,1
8399,OMNIMAX,http://www.wikidata.org/entity/Q188575,1
443,"AFFAIRES PUBLIQUES, ÉMISSIONS D'",,
11795,THRILLERS (TV),http://www.wikidata.org/entity/Q2484376,1
12346,"VARIÉTÉS, ÉMISSIONS DE",http://www.wikidata.org/entity/Q336181,0
12630,WESTERNS (TV),http://www.wikidata.org/entity/Q172980,1
5198,"GANGSTERS, FILMS DE",http://www.wikidata.org/entity/Q7444356,1
5536,"GUERRE, ÉMISSIONS DE",http://www.wikidata.org/entity/Q369747,1
1591,"BIOGRAPHIQUES, ÉMISSIONS",http://www.wikidata.org/entity/Q645928,1
3855,"ÉDUCATIFS, FILMS",http://www.wikidata.org/entity/Q596138,1
11651,TÉLÉROMANS,http://www.wikidata.org/entity/Q2388283,1
1293,"AVENTURE, ÉMISSIONS D'",http://www.wikidata.org/entity/Q319221,1
12051,TRUCAGES,,
3514,DESSINS ANIMÉS,http://www.wikidata.org/entity/Q28968511,1
13522,"ANIMATION, TECHNIQUES MULTIPLES",http://www.wikidata.org/entity/Q202866,0
1303,"AVIATION, FILMS D'",,
13576,"OBJETS, ANIMATION D'",http://www.wikidata.org/entity/Q202866,0
1302,"AVIATION, ÉMISSIONS D'",,
10516,"SCIENTIFIQUES, ÉMISSIONS",,
6008,"INFORMATION, ÉMISSIONS D'",http://www.wikidata.org/entity/Q1358344,1
633,"AMATEURS, FILMS",http://www.wikidata.org/entity/Q455620,0
10762,"SKETCHES, FILMS À",http://www.wikidata.org/entity/Q336144,1
10511,"NATURE, FILMS DE",http://www.wikidata.org/entity/Q1760864,0
13558,CLIPS,http://www.wikidata.org/entity/Q193977,1
7613,"MONTAGE, FILMS DE",,
13548,INTERLUDES,,
6871,LOGO,,
4052,"ÉPISODES, FILMS À",http://www.wikidata.org/entity/Q5398426,0
13552,SOUNDIES,,
13550,SPECTACLE FILMÉ,,
2414,CHRONOPHOTOGRAPHIE,http://www.wikidata.org/entity/Q972417,1
776,ANIMATION SANS CAMÉRA,http://www.wikidata.org/entity/Q202866,0
13527,ÉCRAN D'ÉPINGLES,http://www.wikidata.org/entity/Q2381394,1
13529,ÉLÉMENTS DÉCOUPÉS,,
13575,HOLLYWOOD CARTOONS,http://www.wikidata.org/entity/Q17175676,1
7192,"MARIONNETTES, FILMS DE",http://www.wikidata.org/entity/Q2118696,0
772,ANIMATION ET TRUCAGES PAR ORDINATEUR,http://www.wikidata.org/entity/Q28834881,0
13577,"PARTICULES, ANIMATION DE",,
13579,PÂTE À MODELER,http://www.wikidata.org/entity/Q870889,0
13537,PEINTURE SUR VERRE,,
13580,"PHOTOGRAPHIES, ANIMATION DE",,
13538,PIXILATION,http://www.wikidata.org/entity/Q200751,1
13581,REPOLERO,,
13541,ROTOSCOPIE,http://www.wikidata.org/entity/Q1046057,1
13582,ANIMATION DE SILHOUETTES,http://www.wikidata.org/entity/Q2850055,1
5981,"INDUSTRIELS, FILMS",,
1593,"BIOGRAPHIQUES, VIDÉOS",http://www.wikidata.org/entity/Q645928,1
3652,DOCUMENTAIRES DRAMATISÉS,http://www.wikidata.org/entity/Q622370,1
7300,"MÉDICAUX, FILMS",,
820,"ANTHROPOLOGIQUES, FILMS",,
3708,DRAMATIQUES (TV),http://www.wikidata.org/entity/Q130232,1
775,ANIMATION PAR ORDINATEUR,http://www.wikidata.org/entity/Q28834881,1
819,"ANTHROPOLOGIQUES, ÉMISSIONS",,
10006,"RELIGIEUSES, ÉMISSIONS",http://www.wikidata.org/entity/Q9259727,1
9078,"POLITIQUES, VIDÉOS",http://www.wikidata.org/entity/Q2973201,1
13528,"ÉDUCATIVES, ÉMISSIONS",http://www.wikidata.org/entity/Q596138,1
13540,"PUBLICITAIRES, VIDÉOS",http://www.wikidata.org/entity/Q1869909,0
5733,"FAMILIAUX, FILMS",http://www.wikidata.org/entity/Q1361932,1
