LangueID,Terme,LienWikidata
1,(afan)oromo,http://www.wikidata.org/entity/Q33864
2,abkhazian,http://www.wikidata.org/entity/Q5111
3,afar,http://www.wikidata.org/entity/Q27811
4,afrikaans,http://www.wikidata.org/entity/Q14196
5,albanais,http://www.wikidata.org/entity/Q8748
6,allemand,http://www.wikidata.org/entity/Q188
7,amharique,http://www.wikidata.org/entity/Q28244
8,anglais,http://www.wikidata.org/entity/Q1860
9,arabe,http://www.wikidata.org/entity/Q13955
10,arménien,http://www.wikidata.org/entity/Q8785
11,assamais,http://www.wikidata.org/entity/Q29401
12,aymara,http://www.wikidata.org/entity/Q4627
13,azerbaïdjanais,http://www.wikidata.org/entity/Q9292
14,bashkir,http://www.wikidata.org/entity/Q13389
15,basque,http://www.wikidata.org/entity/Q8752
16,bengali,http://www.wikidata.org/entity/Q9610
17,bhoutani,
18,biélorusse,http://www.wikidata.org/entity/Q9091
19,bihari,http://www.wikidata.org/entity/Q36109
20,birman,http://www.wikidata.org/entity/Q9228
21,bislama,http://www.wikidata.org/entity/Q35452
22,breton,http://www.wikidata.org/entity/Q12107
23,bulgare,http://www.wikidata.org/entity/Q7918
24,khmer,http://www.wikidata.org/entity/Q9205
25,catalan,http://www.wikidata.org/entity/Q7026
26,chinois,http://www.wikidata.org/entity/Q727694
27,coréen,http://www.wikidata.org/entity/Q9176
28,corse,http://www.wikidata.org/entity/Q33111
29,créole,http://www.wikidata.org/entity/Q33289
30,croate,http://www.wikidata.org/entity/Q6654
31,danois,http://www.wikidata.org/entity/Q9035
32,espagnol,http://www.wikidata.org/entity/Q1321
33,espéranto,http://www.wikidata.org/entity/Q143
34,estonien,http://www.wikidata.org/entity/Q9072
35,féroïen,http://www.wikidata.org/entity/Q25258
36,fidji,http://www.wikidata.org/entity/Q33295
37,finnois,http://www.wikidata.org/entity/Q1412
38,français,http://www.wikidata.org/entity/Q150
39,frison,http://www.wikidata.org/entity/Q25325
40,gaélique écossais,http://www.wikidata.org/entity/Q9314
41,galicien,http://www.wikidata.org/entity/Q9307
42,gallois,http://www.wikidata.org/entity/Q9309
43,géorgien,http://www.wikidata.org/entity/Q8108
44,goujrati,http://www.wikidata.org/entity/Q5137
45,grec,http://www.wikidata.org/entity/Q9129
46,groenlandais,http://www.wikidata.org/entity/Q25355
47,guarani,http://www.wikidata.org/entity/Q35876
48,haoussa,http://www.wikidata.org/entity/Q56475
49,hébreu,http://www.wikidata.org/entity/Q9288
50,hindi,http://www.wikidata.org/entity/Q1568
51,hongrois,http://www.wikidata.org/entity/Q9067
52,indonésien,http://www.wikidata.org/entity/Q9240
53,interlingua,http://www.wikidata.org/entity/Q35934
54,interlingue,http://www.wikidata.org/entity/Q35850
55,international,
56,inuktitut,http://www.wikidata.org/entity/Q29921
57,inupiak,http://www.wikidata.org/entity/Q27183
58,irlandais,http://www.wikidata.org/entity/Q9142
59,islandais,http://www.wikidata.org/entity/Q294
60,italien,http://www.wikidata.org/entity/Q652
61,japonais,http://www.wikidata.org/entity/Q5287
62,javanais,http://www.wikidata.org/entity/Q33549
63,kannada,http://www.wikidata.org/entity/Q33673
64,kashmiri,http://www.wikidata.org/entity/Q33552
65,kazakh,http://www.wikidata.org/entity/Q9252
66,kinyarwanda,http://www.wikidata.org/entity/Q33573
67,kirghiz,http://www.wikidata.org/entity/Q9255
68,kiroundi,http://www.wikidata.org/entity/Q33583
69,kurde,http://www.wikidata.org/entity/Q36368
70,laotien,http://www.wikidata.org/entity/Q9211
71,latin,http://www.wikidata.org/entity/Q397
72,letton,http://www.wikidata.org/entity/Q9078
73,lingala,http://www.wikidata.org/entity/Q36217
74,lithuanien,http://www.wikidata.org/entity/Q9083
75,macédonien,http://www.wikidata.org/entity/Q9296
76,malais,http://www.wikidata.org/entity/Q9237
77,malayalam,http://www.wikidata.org/entity/Q36236
78,malgache,http://www.wikidata.org/entity/Q7930
79,maltais,http://www.wikidata.org/entity/Q9166
