PaysId,Terme,LienWikidata
1,Afghanistan,http://www.wikidata.org/entity/Q889
2,Afrique,http://www.wikidata.org/entity/Q15
3,Afrique du Sud,http://www.wikidata.org/entity/Q258
4,Albanie,http://www.wikidata.org/entity/Q222
5,Algérie,http://www.wikidata.org/entity/Q262
6,Allemagne,http://www.wikidata.org/entity/Q183
7,"Allemagne, République fédérale d'",http://www.wikidata.org/entity/Q183
8,"Allemande, République démocratique",http://www.wikidata.org/entity/Q16957
9,Amérique latine,http://www.wikidata.org/entity/Q12585
10,Andorre,http://www.wikidata.org/entity/Q228
11,Angola,http://www.wikidata.org/entity/Q916
12,Anguilla,http://www.wikidata.org/entity/Q25228
13,Antarctique,http://www.wikidata.org/entity/Q51
14,Antigua-et-Barbuda,http://www.wikidata.org/entity/Q781
15,Antilles,http://www.wikidata.org/entity/Q166131
16,Antilles néerlandaises,http://www.wikidata.org/entity/Q25227
17,Arabie saoudite,http://www.wikidata.org/entity/Q851
18,Argentine,http://www.wikidata.org/entity/Q414
19,Arménie,http://www.wikidata.org/entity/Q399
20,Aruba,http://www.wikidata.org/entity/Q21203
21,Asie,http://www.wikidata.org/entity/Q48
22,Australie,http://www.wikidata.org/entity/Q408
23,Autriche,http://www.wikidata.org/entity/Q40
24,Azerbaïdjan,http://www.wikidata.org/entity/Q227
25,Bahamas,http://www.wikidata.org/entity/Q778
26,Bahreïn,http://www.wikidata.org/entity/Q398
27,Balkans,http://www.wikidata.org/entity/Q23522
28,Bangladesh,http://www.wikidata.org/entity/Q902
29,Barbade,http://www.wikidata.org/entity/Q244
30,Belgique,http://www.wikidata.org/entity/Q31
31,Belize,http://www.wikidata.org/entity/Q242
32,Bénin,http://www.wikidata.org/entity/Q962
33,Bermudes,http://www.wikidata.org/entity/Q23635
34,Bhoutan,http://www.wikidata.org/entity/Q917
35,Biélorussie,http://www.wikidata.org/entity/Q184
36,Birmanie,http://www.wikidata.org/entity/Q836
37,Bolivie,http://www.wikidata.org/entity/Q750
38,Bosnie-Herzégovine,http://www.wikidata.org/entity/Q225
39,Botswana,http://www.wikidata.org/entity/Q963
40,"Bouvet, île",http://www.wikidata.org/entity/Q23408
41,Brésil,http://www.wikidata.org/entity/Q155
42,Brunéi Darussalam,http://www.wikidata.org/entity/Q921
43,Bulgarie,http://www.wikidata.org/entity/Q219
44,Burkina Faso,http://www.wikidata.org/entity/Q965
45,Burundi,http://www.wikidata.org/entity/Q967
46,"Caïmanes, îles",http://www.wikidata.org/entity/Q5785
47,Cambodge,http://www.wikidata.org/entity/Q424
48,Cameroun,http://www.wikidata.org/entity/Q1009
49,Canada,http://www.wikidata.org/entity/Q16
50,Canada : Acadie,http://www.wikidata.org/entity/Q207353
51,Canada : Alberta,http://www.wikidata.org/entity/Q1951
52,Canada : Colombie-Britannique,http://www.wikidata.org/entity/Q1974
53,Canada : Île-du-Prince-Édouard,http://www.wikidata.org/entity/Q1979
54,Canada : Manitoba,http://www.wikidata.org/entity/Q1948
55,Canada : Nouveau-Brunswick,http://www.wikidata.org/entity/Q1965
56,Canada : Nouvelle-Écosse,http://www.wikidata.org/entity/Q1952
57,Canada : Ontario,http://www.wikidata.org/entity/Q1904
58,Canada : Saskatchewan,http://www.wikidata.org/entity/Q1989
59,Canada : Terre-Neuve,http://www.wikidata.org/entity/Q2003
60,Canada : Territoire du Nord-Ouest,http://www.wikidata.org/entity/Q2007
61,Canada : Yukon,http://www.wikidata.org/entity/Q2009
62,Cap-vert,http://www.wikidata.org/entity/Q1011
63,"Centrafricaine, République",http://www.wikidata.org/entity/Q929
64,Ceylan,http://www.wikidata.org/entity/Q2670092
65,Chili,http://www.wikidata.org/entity/Q298
66,Chine,http://www.wikidata.org/entity/Q29520
67,"Christmas, île",http://www.wikidata.org/entity/Q31063
68,Chypre,http://www.wikidata.org/entity/Q229
69,"Cocos (Keeling), îles des",http://www.wikidata.org/entity/Q36004
70,Colombie,http://www.wikidata.org/entity/Q739
71,Communauté des États Indépendants,http://www.wikidata.org/entity/Q7779
72,Comores,http://www.wikidata.org/entity/Q970
73,Congo,http://www.wikidata.org/entity/Q971
74,"Cook, îles",http://www.wikidata.org/entity/Q26988
75,Corée,http://www.wikidata.org/entity/Q18097
76,"Corée, République de",http://www.wikidata.org/entity/Q884
77,"Corée, République populaire démocratique de",http://www.wikidata.org/entity/Q423
78,Costa Rica,http://www.wikidata.org/entity/Q800
79,Côte d'Ivoire,http://www.wikidata.org/entity/Q1008
80,Croatie,http://www.wikidata.org/entity/Q224
81,Cuba,http://www.wikidata.org/entity/Q241
82,Dahomey,http://www.wikidata.org/entity/Q468814
83,Danemark,http://www.wikidata.org/entity/Q35
84,Djibouti,http://www.wikidata.org/entity/Q977
85,"Dominicaine, République",http://www.wikidata.org/entity/Q1008
86,Dominique,http://www.wikidata.org/entity/Q784
87,Égypte,http://www.wikidata.org/entity/Q79
88,Eire,http://www.wikidata.org/entity/Q27
89,Émirats arabes unis,http://www.wikidata.org/entity/Q878
90,Équateur,http://www.wikidata.org/entity/Q736
91,Espagne,http://www.wikidata.org/entity/Q29
92,Espagne : Catalogne,http://www.wikidata.org/entity/Q5705
93,Estonie,http://www.wikidata.org/entity/Q191
94,États-Unis,http://www.wikidata.org/entity/Q30
95,États-Unis : Floride,http://www.wikidata.org/entity/Q812
96,États-Unis : Hawaï,http://www.wikidata.org/entity/Q782
97,Éthiopie,http://www.wikidata.org/entity/Q115
98,Europe,http://www.wikidata.org/entity/Q46
99,Europe de l'Est,http://www.wikidata.org/entity/Q27468
100,Europe de l'Ouest,http://www.wikidata.org/entity/Q27496
101,"Falkland, îles (Malvinas)",http://www.wikidata.org/entity/Q9648
102,"Féroé, îles",http://www.wikidata.org/entity/Q4628
103,Fidji,http://www.wikidata.org/entity/Q712
104,Finlande,http://www.wikidata.org/entity/Q33
105,France,http://www.wikidata.org/entity/Q142
106,France : Aquitaine,http://www.wikidata.org/entity/Q1179
107,France : Ardèche,http://www.wikidata.org/entity/Q3148
108,France : Bretagne,http://www.wikidata.org/entity/Q12130
109,Gabon,http://www.wikidata.org/entity/Q1000
110,Gambie,http://www.wikidata.org/entity/Q1005
111,Georgie,http://www.wikidata.org/entity/Q230
112,Ghana,http://www.wikidata.org/entity/Q117
113,Gibraltar,http://www.wikidata.org/entity/Q1410
114,Grèce,http://www.wikidata.org/entity/Q41
115,Grenade,http://www.wikidata.org/entity/Q769
116,Groenland,http://www.wikidata.org/entity/Q223
117,Guadeloupe,http://www.wikidata.org/entity/Q17012
118,Guam,http://www.wikidata.org/entity/Q16635
119,Guatemala,http://www.wikidata.org/entity/Q774
120,Guinée,http://www.wikidata.org/entity/Q1006
121,Guinée équatoriale,http://www.wikidata.org/entity/Q983
122,Guinée-Bissau,http://www.wikidata.org/entity/Q1007
123,Guyana,http://www.wikidata.org/entity/Q734
124,Guyane française,http://www.wikidata.org/entity/Q3769
125,Haïti,http://www.wikidata.org/entity/Q790
126,Haute-Volta,http://www.wikidata.org/entity/Q797422
127,"Heard et Mc Donald, îles",http://www.wikidata.org/entity/Q131198
128,Honduras,http://www.wikidata.org/entity/Q783
129,Hong-Kong,http://www.wikidata.org/entity/Q8646
130,Hongrie,http://www.wikidata.org/entity/Q28
131,Îles mineures éloignées des États-Unis,http://www.wikidata.org/entity/Q16645
132,Îles Vierges (britanniques),http://www.wikidata.org/entity/Q25305
133,Îles Vierges (É.-U.),http://www.wikidata.org/entity/Q11703
134,Inde,http://www.wikidata.org/entity/Q668
135,Inde : Tamil,http://www.wikidata.org/entity/Q1445
136,Indonésie,http://www.wikidata.org/entity/Q252
137,"Iran, République islamique d'",http://www.wikidata.org/entity/Q252
138,Irak,http://www.wikidata.org/entity/Q796
139,Irlande,http://www.wikidata.org/entity/Q27
140,Islande,http://www.wikidata.org/entity/Q189
141,Israël,http://www.wikidata.org/entity/Q801
142,Italie,http://www.wikidata.org/entity/Q38
143,Jamaïque,http://www.wikidata.org/entity/Q766
144,Japon,http://www.wikidata.org/entity/Q17
145,Jordanie,http://www.wikidata.org/entity/Q810
146,Kampuchea démocratique,http://www.wikidata.org/entity/Q330988
147,Kazakhstan,http://www.wikidata.org/entity/Q232
148,Kenya,http://www.wikidata.org/entity/Q114
149,Kirghizstan,http://www.wikidata.org/entity/Q813
150,Kiribati,http://www.wikidata.org/entity/Q710
151,Koweït,http://www.wikidata.org/entity/Q817
152,"Laos, République démocratique populaire",http://www.wikidata.org/entity/Q819
153,Lesotho,http://www.wikidata.org/entity/Q1013
154,Lettonie,http://www.wikidata.org/entity/Q211
155,Liban,http://www.wikidata.org/entity/Q822
156,Libéria,http://www.wikidata.org/entity/Q1014
157,"Libyenne, Jamahiriya arabe",http://www.wikidata.org/entity/Q4843701
158,Liechtenstein,http://www.wikidata.org/entity/Q347
159,Lituanie,http://www.wikidata.org/entity/Q37
160,Luxembourg,http://www.wikidata.org/entity/Q32
161,Macao,http://www.wikidata.org/entity/Q1012723
162,Macédoine,http://www.wikidata.org/entity/Q221
163,Madagascar,http://www.wikidata.org/entity/Q1019
164,Maghreb,http://www.wikidata.org/entity/Q28227
165,Malaisie,http://www.wikidata.org/entity/Q833
166,Malawi,http://www.wikidata.org/entity/Q1020
167,Maldives,http://www.wikidata.org/entity/Q826
168,Mali,http://www.wikidata.org/entity/Q912
169,Malte,http://www.wikidata.org/entity/Q233
170,"Mariannes du Nord, îles",http://www.wikidata.org/entity/Q16644
171,Maroc,http://www.wikidata.org/entity/Q1028
172,"Marshall, îles",http://www.wikidata.org/entity/Q16644
173,Martinique,http://www.wikidata.org/entity/Q17054
174,Maurice,http://www.wikidata.org/entity/Q1027
175,Mauritanie,http://www.wikidata.org/entity/Q1025
176,Mexique,http://www.wikidata.org/entity/Q96
177,Micronésie,http://www.wikidata.org/entity/Q3359409
178,Moldavie,http://www.wikidata.org/entity/Q217
179,Monaco,http://www.wikidata.org/entity/Q235
180,Mongolie,http://www.wikidata.org/entity/Q711
